query,complexity,tables,predicates,cost ratio,MAX Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error
1a,1,5,5,1.0,2385.269230769231,854.2562610712185,1178.163469949391,15.384030616130023
1b,1,5,5,1.0,718.4,14091.39992903473,25970.81277855566,797.9321066232989
1c,1,5,5,1.0001581669390653,2458.0,4664.632832981689,7230.215920743123,61.7100045325404
1d,1,5,5,1.0,718.4,14478.51545146983,28699.278827823302,827.691431625693
2a,1,5,5,1.0,2092.0,0.40177769525517737,0.40177769525517737,0.004414308488020584
2b,1,5,5,1.0,5228.0,1.6500793554609041,1.6500793554609041,0.018129327214375126
2c,1,5,5,1.9742860026188989,2092.0,532.1261941887714,641.3774099709765,11.008653296840674
2d,1,5,5,1.0,2092.0,0.23641992248991694,0.23641992248991694,0.002597532125126004
32a,1,6,5,1.0,9.127509976562996,0.0,0.0,0.0
32b,1,6,5,1.0,4388.0,3.509272706754341,7.018545413508682,0.20498650024024428
3a,1,4,4,1.0,50.19767441860465,0.0,0.0,0.0
3b,1,4,4,1.0,50.19767441860465,0.09720486901084971,0.09720486901084971,0.0046100257899505505
3c,1,4,4,1.0,50.19767441860465,0.0,0.0,0.0
4a,1,5,5,1.0,376.5925925925926,11.806883951638977,17.257231934827168,0.5767560394203518
4b,1,5,5,1.0,1000.3333333333334,19.95,27.954900791383274,0.3081022212298204
4c,1,5,5,1.0,2510.0,89.02188763203266,93.98282810875796,1.11895348112693
5a,1,5,5,1.0,616.15625,4.045007840080999,6.353184967636951,0.2171978385076494
5b,1,5,5,1.0,8.34618441971383,0.0,0.0,0.0
5c,1,5,5,1.0002887476558249,5.920353982300885,1.6360486283571454,1.6360486283571454,0.01797517242062062
6a,1,5,5,1.0,10.372881355932204,0.01022511819169842,0.01022511819169842,2.5282864020121006e-05
6b,1,5,5,1.0,383.0,90.10842103169722,122.18125460683635,4.36058243788416
6c,1,5,5,1.0,33.0,3.75,6.3088913592271325,0.05388315397414821
6d,1,5,5,1.0,256.6538146021329,74.1305456597804,127.46519890112666,4.101690632429821
6e,1,5,5,1.0,6.0,0.26429723889950046,0.26429723889950046,0.0029038186012129916
6f,1,5,5,1.0,256.6538146021329,0.0,0.0,0.0
8a,1,7,8,7.574639264368847,17379.0,882.8158834166729,1328.0748357382945,6.886591745473559
8b,1,7,8,8.863838066885366,2751.0,430.1095626352144,1029.2824351653776,8.275318644309232
8c,1,7,8,1.460696240359886,115.2151822518642,14.782670330486937,39.07718358103993,0.4351809906749617
8d,1,7,8,1.0292196336916586,24.161660331977487,6.920571133638719,18.18463304315464,0.052907947254895046
9a,1,8,9,4.204941074570116,727.0,43.30140138007426,128.63314476380302,0.22861360470001027
9b,1,8,9,5.597226390823178,1555.3846153846155,62.889742401137894,169.8415672067039,0.32080292849988634
9c,1,8,9,3.975868223276643,8514.0,58.71096537934342,156.7069554734601,0.27563866603744175
9d,1,8,9,2.136690827712935,4354.603448275862,83.71602370894908,223.0240047454153,0.5930781427473398
10a,1,7,7,1.0,603.7083333333334,414.23843878493847,995.4467233793387,5.172484310683808
10b,1,7,7,1.0,129.74285714285713,38.738729218524576,79.7767130848227,0.22156981260628564
10c,1,7,7,1.0000000000000002,3.675197127900529,9.177020673116765,27.770435949799463,0.22330276236776295
17a,1,7,9,1.479221665870605,26722.216981132075,3.7223636714506463,5.952912656120376,0.02181557687904558
17b,1,7,9,4.168638429235601,52306.0,2.5256186244604693,6.303342008453882,0.024834905503344263
17c,1,7,9,4.340364732629732,26430.257627118644,132.21633413785872,202.4207649310112,1.7179418696733166
17d,1,7,9,4.305163802376928,26430.257627118644,18.27016798157287,36.013599720428545,0.2219526668265348
17e,1,7,9,1.1708560172398674,26722.216981132075,3.053311712355408,4.0157360753916915,0.013642158791496963
17f,1,7,9,2.7268711790078997,26430.257627118644,1.5779365138751513,2.3887984749302786,0.013985066604880128
18a,1,7,9,1.126073972969379,41204.0,35.572719945129116,67.33508228775409,0.10766702952285805
18b,1,7,9,1.0002235256562049,592.6153846153846,398.53314627780736,871.4766341277317,6.062716924415968
18c,1,7,9,1.1042304088295634,20503.2,54.1528571317324,146.12703965638784,1.3455313613400701
7a,2,8,11,1.5884704635122124,484719.0,31.481078360338014,96.32540994745119,0.11843143722354903
7b,2,8,11,1.0702625402273949,53272.25,39.30189029203447,123.72267841146181,0.3191701817532165
7c,2,8,11,2.40941733401911,246662.80952380953,62.390287781755184,138.89692131357248,0.5206284129560746
11a,2,8,10,2.8851521348909714,32130.0,195.79146685960782,380.7315951123116,2.1493011030382907
11b,2,8,10,1.0007209211312282,11915.0,198.75053795825173,598.3768028446085,2.1397585340005065
11c,2,8,10,1.0711592476317253,260315.66666666666,38.72920391614338,137.38654862613612,0.7052634737203697
11d,2,8,10,1.60490643881774,15510.0,63.32865059206772,258.6644949634688,1.102019961909435
12a,2,8,10,1.0015184796898142,25123.5,774.9297678885226,1243.7583267670639,3.101479477373705
12b,2,8,10,1.0344168812455292,95454.6,187963.36265286893,199777.2617198893,624.9278996652862
12c,2,8,10,1.0768904255917244,43557.0,257.0341639257313,802.2456013210984,7.610327460865644
13a,2,9,11,2.08111095480215,10256570.0,230.85746473448728,732.4900654755618,2.1047169780107997
13b,2,9,11,3.2567242599082595,47809.181818181816,291.81217404227374,502.2229182565057,0.8733499800435474
13c,2,9,11,3.2736158651875673,47809.181818181816,578.8282834365432,1256.3136064595058,1.538202074760462
13d,2,9,11,1.122342265405877,10256570.0,67.8373499486935,217.6193802837198,0.664566793866047
14a,2,8,10,1.0,23916.0,1412.3856970418208,2015.474760812923,6.794244701815403
14b,2,8,10,1.0000140284829218,12774.0,836.7964062521135,1497.2301398053526,3.1516730373961366
14c,2,8,10,1.0010475428795296,24334.875,643.3383551879856,1356.761941884762,3.5440036604903566
15a,2,9,14,1.0113524990682319,4309.0,342.03398066362536,1043.14054440681,3.990420267265569
15b,2,9,14,1.0032342478282068,3771.0,4703.179490821169,9633.721239734075,8.731068494187317
15c,2,9,14,2.4858479068606694,9187.0,299.70087362276246,755.7009824401272,2.6217030111138255
15d,2,9,14,2.540224958952113,5681.0,373.3960424992959,1135.4014927405433,2.0211436241768457
16a,2,8,11,1.0001038724312514,22625.560975609755,637.8456135320628,794.9054718119543,2.1810272566245503
16b,2,8,11,1.2290604354151329,26722.216981132075,12.590148484061002,24.258042411922997,0.05148665177348391
16c,2,8,11,1.071165163717586,22625.560975609755,5.051503540203828,18.421041542525323,0.07640015927379466
16d,2,8,11,1.0,22625.560975609755,10.212576190986177,29.709083677004415,0.08668984615579757
19a,2,10,13,1.2652354074126326,82720.0,4632.293013502257,10413.268084104266,13.497391990513163
19b,2,10,13,1.0002823222253645,14051.0,68474.10110811828,157489.51346108984,193.26681059817804
19c,2,10,13,1.0200859741809818,195936.0,2069.7462913343206,4272.922109552903,2.695436579133814
19d,2,10,13,1.9829218987315502,1909379.0,1293.0659003801313,4439.352940268259,4.977474130626661
20a,2,10,12,8.286132991064536,87986607.0,1273603.9677645636,3495453.7822236563,3940.3035461079617
20b,2,10,12,159.11892994588786,41145539.0,10488075.023343908,11329311.770899955,540.3447443725119
20c,2,10,12,1.445772658567522,41145539.0,4650.529724894784,10837.623451528294,5.918194003658946
21a,2,9,14,1.7108770981051986,60243.0,516.4088184784847,1713.3331119360694,9.287763488559634
21b,2,9,14,1.010352891501697,31960.0,1505.8115351922768,4034.1312632358126,34.34370120483266
21c,2,9,14,2.819979229346855,99902.0,512.083755973048,1661.8848305851627,3.9224969749881655
22a,2,11,16,1.2457642998845575,523511.0,324236.02667246107,588403.9901639216,222.5500960173585
22b,2,11,16,1.007282885714764,70725.0,612326.8366261324,1287452.2282395926,635.6875482069873
22c,2,11,16,1.4540864465306105,2842381.0,1319385.3430270397,1466102.802105201,293.2020557181756
22d,2,11,16,1.8034983381202014,319854.56,12586.543542471602,47961.70618446207,36.32238132078536
23a,2,11,16,1.0553529817064078,1641411.5,507115.9267091817,867871.1959638132,116.4848839729476
23b,2,11,16,1.0421384655673045,1641411.5,366727.3216330607,718804.9879580118,249.20629530413848
23c,2,11,16,1.0491073242166737,795004.7777777778,27335.224441715873,83229.8263560167,44.87355244553835
24a,2,12,18,1.1342275535776014,2945072.0,129938.28325781904,454210.50850550685,80.66134896967384
24b,2,12,18,1.0103404605259083,424620.0,456611.72891547915,1405874.9294536533,387.83051928053345
